antecedent_product_id,antecedent_label_en,consequent_product_id,consequent_label_en,pair_count,antecedent_count,consequent_count,support,confidence,lift,chi_square,p_value,q_bh,phi,retained
P0072,"French fries, 180 g",P0152,"Stella Artois draught beer, 0.4 L",786,5580,2832,0.02522707577751388,0.14086021505376345,1.549711059473908,205.36787493715642,1.407721730197865e-46,6.046552786007365e-46,0.08118736335528769,True
P0082,"Tripe soup, 300/100 g",P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",773,2454,5898,0.024809834066180956,0.3149959250203749,1.664009500823978,274.24587491195905,1.3476140106820138e-61,8.259813964348748e-61,0.09381931004053301,True
P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",P0082,"Tripe soup, 300/100 g",773,5898,2454,0.024809834066180956,0.13106137673787724,1.664009500823978,274.24587491195905,1.3476140106820138e-61,8.259813964348748e-61,0.09381931004053301,True
P0537,Product P0537,P0612,"Sour cream, 50 g",742,1610,2147,0.023814873062233205,0.4608695652173913,6.688082460865515,4065.2213837470667,0.0,0.0,0.36121375805447037,True
P0612,"Sour cream, 50 g",P0537,Product P0537,742,2147,1610,0.023814873062233205,0.3455985095482068,6.688082460865515,4065.2213837470667,0.0,0.0,0.36121375805447037,True
P0567,"Fried Romanian cheese doughnuts, 180 g",P0165,"Honey lemonade, 500 ml",735,2807,3686,0.023590204448438554,0.26184538653366585,2.213325205705216,609.3688993982382,1.5346696264592049e-134,2.5758839422569114e-133,0.13984995322404625,True
P0165,"Honey lemonade, 500 ml",P0567,"Fried Romanian cheese doughnuts, 180 g",735,3686,2807,0.023590204448438554,0.19940314704286488,2.213325205705216,609.3688993982382,1.5346696264592049e-134,2.5758839422569114e-133,0.13984995322404625,True
P0537,Product P0537,P0018,"Hot pepper, 1 pc.",732,1610,2461,0.023493917899669415,0.4546583850931677,5.756111866862181,3293.536570662518,0.0,0.0,0.3251272928326343,True
P0018,"Hot pepper, 1 pc.",P0537,Product P0537,732,2461,1610,0.023493917899669415,0.2974400650142219,5.756111866862181,3293.536570662518,0.0,0.0,0.3251272928326343,True
P0018,"Hot pepper, 1 pc.",P0072,"French fries, 180 g",727,2461,5580,0.02333344031838752,0.2954083705810646,1.6494692835473532,245.89387553676403,2.0400508174637652e-55,1.1128477209264839e-54,0.08883744075351473,True
P0072,"French fries, 180 g",P0018,"Hot pepper, 1 pc.",727,5580,2461,0.02333344031838752,0.13028673835125448,1.6494692835473532,245.89387553676403,2.0400508174637652e-55,1.1128477209264839e-54,0.08883744075351473,True
P0567,"Fried Romanian cheese doughnuts, 180 g",P0070,"Caru' cu Flori potatoes, 180 g",726,2807,4003,0.02330134480213114,0.25863911649447807,2.013094916966888,466.763656000055,1.6219070518391252e-103,1.9233702103874845e-102,0.12239697916630399,True
P0070,"Caru' cu Flori potatoes, 180 g",P0567,"Fried Romanian cheese doughnuts, 180 g",726,4003,2807,0.02330134480213114,0.18136397701723708,2.013094916966888,466.763656000055,1.6219070518391252e-103,1.9233702103874845e-102,0.12239697916630399,True
P0685,Product P0685,P0009,"Borsec sparkling mineral water, 750 ml",722,1242,3139,0.023172962737105625,0.5813204508856683,5.770054567774694,3297.5326337865354,0.0,0.0,0.32532447226367084,True
